audio_path,text,duration_seconds,word_count,speaker_id,age,gender,domain
../datasets/cv-corpus-21.0-delta-2025-03-14/rw/clips/common_voice_rw_41944481.mp3,amakuru mashya,5.688,2,e1dfb11215,,,
../datasets/cv-corpus-21.0-delta-2025-03-14/rw/clips/common_voice_rw_41944482.mp3,zeru,2.808,1,e1dfb11215,,,
../datasets/cv-corpus-21.0-delta-2025-03-14/rw/clips/common_voice_rw_41944483.mp3,murwanda,2.736,1,e1dfb11215,,,
../datasets/cv-corpus-21.0-delta-2025-03-14/rw/clips/common_voice_rw_41944484.mp3,kuvugisha ubishinzwe,5.616,2,e1dfb11215,,,
../datasets/cv-corpus-21.0-delta-2025-03-14/rw/clips/common_voice_rw_41944487.mp3,gatanu,4.86,1,e1dfb11215,,,
../datasets/cv-corpus-21.0-delta-2025-03-14/rw/clips/common_voice_rw_41978020.mp3,murwanda,6.516,1,094ea94a08,,,
../datasets/cv-corpus-21.0-delta-2025-03-14/rw/clips/common_voice_rw_42157139.mp3,kwipima,5.256,1,615962a3cc,,,
../datasets/cv-corpus-21.0-delta-2025-03-14/rw/clips/common_voice_rw_42157140.mp3,ingendo,3.348,1,615962a3cc,,,
../datasets/cv-corpus-21.0-delta-2025-03-14/rw/clips/common_voice_rw_42157141.mp3,ibihano namande,3.6,2,615962a3cc,,,
../datasets/cv-corpus-21.0-delta-2025-03-14/rw/clips/common_voice_rw_42157142.mp3,ibiciro,3.348,1,615962a3cc,,,
../datasets/cv-corpus-21.0-delta-2025-03-14/rw/clips/common_voice_rw_42157143.mp3,ibibujijwe,4.248,1,615962a3cc,,,
../datasets/cv-corpus-21.0-delta-2025-03-14/rw/clips/common_voice_rw_42177733.mp3,gatandatu,7.668,1,6c7bbb8dd6,thirties,,
../datasets/cv-corpus-21.0-delta-2025-03-14/rw/clips/common_voice_rw_42341197.mp3,ibihano namande,5.616,2,a7923d69c5,,,
../datasets/cv-corpus-21.0-delta-2025-03-14/rw/clips/common_voice_rw_42341198.mp3,amabwiriza,3.78,1,a7923d69c5,,,
../datasets/cv-corpus-21.0-delta-2025-03-14/rw/clips/common_voice_rw_42341199.mp3,rimwe,3.06,1,a7923d69c5,,,
../datasets/cv-corpus-21.0-delta-2025-03-14/rw/clips/common_voice_rw_42341200.mp3,kabiri,2.628,1,a7923d69c5,,,
../datasets/cv-corpus-21.0-delta-2025-03-14/rw/clips/common_voice_rw_42341201.mp3,icyenda,2.7,1,a7923d69c5,,,
../datasets/cv-corpus-21.0-delta-2025-03-14/rw/clips/common_voice_rw_42527078.mp3,amabwiriza,4.788,1,9bb91720aa,,,
../datasets/cv-corpus-21.0-delta-2025-03-14/rw/clips/common_voice_rw_42527079.mp3,amasaha ntarengwa,2.916,2,9bb91720aa,,,
../datasets/cv-corpus-21.0-delta-2025-03-14/rw/clips/common_voice_rw_42527080.mp3,umunani,2.736,1,9bb91720aa,,,
../datasets/cv-corpus-21.0-delta-2025-03-14/rw/clips/common_voice_rw_42527081.mp3,gumamurugo,3.096,1,9bb91720aa,,,
../datasets/cv-corpus-21.0-delta-2025-03-14/rw/clips/common_voice_rw_42527082.mp3,oya,2.556,1,9bb91720aa,,,
../datasets/cv-corpus-21.0-delta-2025-03-14/rw/clips/common_voice_rw_42527083.mp3,abaturanyi,2.268,1,4d6a6b094b,,,
../datasets/cv-corpus-21.0-delta-2025-03-14/rw/clips/common_voice_rw_42527084.mp3,ibihano namande,2.916,2,4d6a6b094b,,,
../datasets/cv-corpus-21.0-delta-2025-03-14/rw/clips/common_voice_rw_42527085.mp3,gatandatu,2.16,1,4d6a6b094b,,,
../datasets/cv-corpus-21.0-delta-2025-03-14/rw/clips/common_voice_rw_42527086.mp3,ibikenewe,2.916,1,4d6a6b094b,,,
../datasets/cv-corpus-21.0-delta-2025-03-14/rw/clips/common_voice_rw_42527087.mp3,ibyo usabwa,2.7,2,4d6a6b094b,,,
../datasets/cv-corpus-21.0-delta-2025-03-14/rw/clips/common_voice_rw_42564367.mp3,izemerewe,6.48,1,9c0e252377,,,
../datasets/cv-corpus-21.0-delta-2025-03-14/rw/clips/common_voice_rw_42611387.mp3,ahantu,3.24,1,9c7ee61e9d,twenties,,
../datasets/cv-corpus-21.0-delta-2025-03-14/rw/clips/common_voice_rw_42611388.mp3,ibikenewe,2.916,1,9c7ee61e9d,twenties,,
../datasets/cv-corpus-21.0-delta-2025-03-14/rw/clips/common_voice_rw_42611389.mp3,uburyo,2.376,1,9c7ee61e9d,twenties,,
../datasets/cv-corpus-21.0-delta-2025-03-14/rw/clips/common_voice_rw_42611390.mp3,zeru,2.556,1,9c7ee61e9d,twenties,,
../datasets/cv-corpus-21.0-delta-2025-03-14/rw/clips/common_voice_rw_42611391.mp3,kabiri,2.088,1,9c7ee61e9d,twenties,,
../datasets/cv-corpus-21.0-delta-2025-03-14/rw/clips/common_voice_rw_42611392.mp3,iwawe,10.08,1,9c7ee61e9d,twenties,,
../datasets/cv-corpus-21.0-delta-2025-03-14/rw/clips/common_voice_rw_42614242.mp3,gumamurugo,3.636,1,aae94106cf,,,
../datasets/cv-corpus-21.0-delta-2025-03-14/rw/clips/common_voice_rw_42614243.mp3,kabiri,2.988,1,aae94106cf,,,
../datasets/cv-corpus-21.0-delta-2025-03-14/rw/clips/common_voice_rw_42614244.mp3,bigenda,2.88,1,aae94106cf,,,
../datasets/cv-corpus-21.0-delta-2025-03-14/rw/clips/common_voice_rw_42614245.mp3,mpuzamahanga,3.276,1,aae94106cf,,,
../datasets/cv-corpus-21.0-delta-2025-03-14/rw/clips/common_voice_rw_42614246.mp3,karindwi,2.52,1,aae94106cf,,,
../datasets/cv-corpus-21.0-delta-2025-03-14/rw/clips/common_voice_rw_42619509.mp3,ibyo usabwa,4.176,2,c90f06ac70,,,
../datasets/cv-corpus-21.0-delta-2025-03-14/rw/clips/common_voice_rw_42619510.mp3,ibikenewe,3.276,1,c90f06ac70,,,
../datasets/cv-corpus-21.0-delta-2025-03-14/rw/clips/common_voice_rw_42619511.mp3,ku isi,2.52,2,c90f06ac70,,,
../datasets/cv-corpus-21.0-delta-2025-03-14/rw/clips/common_voice_rw_42619512.mp3,ingendo,2.088,1,c90f06ac70,,,
../datasets/cv-corpus-21.0-delta-2025-03-14/rw/clips/common_voice_rw_42619513.mp3,mpuzamahanga,2.448,1,c90f06ac70,,,
../datasets/cv-corpus-21.0-delta-2025-03-14/rw/clips/common_voice_rw_42619737.mp3,mugihugu,10.008,1,c1b8688758,,,
../datasets/cv-corpus-21.0-delta-2025-03-14/rw/clips/common_voice_rw_42619738.mp3,ku isi,8.568,2,c1b8688758,,,
